user_id,precision,recall,ndcg,true_count,pred_count,overlap
member_0,0.2,0.5,0.36331756126716835,4,6,2
member_1,0.3,0.75,0.592512031964586,4,5,3
member_2,0.2,0.5,0.3071837157818931,4,6,2
member_3,0.1,0.25,0.3903800499921017,4,5,1
member_4,0.2,0.5,0.44149241373678083,4,7,2
member_5,0.2,0.5,0.5413996682199069,4,5,2
member_6,0.1,0.25,0.16812753627111746,4,8,1
member_7,0.1,0.25,0.16812753627111746,4,4,1
member_8,0.2,0.5,0.5135312443624667,4,8,2
member_9,0.2,0.5,0.5413996682199069,4,5,2
member_10,0.2,0.5,0.5585075862632192,4,5,2
member_11,0.1,0.25,0.13905617951077562,4,6,1
member_12,0.2,0.5,0.4144299250118475,4,6,2
member_13,0.2,0.5,0.4144299250118475,4,6,2
member_14,0.0,0.0,0.0,4,5,0
member_15,0.2,0.5,0.34620964322385606,4,6,2
member_16,0.1,0.25,0.19519002499605084,4,4,1
member_17,0.1,0.25,0.19519002499605084,4,6,1
member_18,0.2,0.5,0.4144299250118475,4,7,2
member_19,0.2,0.5,0.36331756126716835,4,6,2
member_20,0.2,0.5,0.5294362295028773,4,7,2
member_21,0.2,0.5,0.2811463015585058,4,8,2
member_22,0.0,0.0,0.0,4,6,0
member_23,0.3,0.75,0.7365896932159578,4,5,3
member_24,0.3,0.75,0.8318724637288826,4,5,3
member_25,0.2,0.5,0.5294362295028773,4,6,2
member_26,0.3,0.75,0.7095272044910244,4,6,3
member_27,0.1,0.25,0.3903800499921017,4,6,1
member_28,0.2,0.5,0.2532778777010656,4,8,2
member_29,0.1,0.25,0.15101961822780524,4,5,1
member_30,0.3,0.75,0.544556608342548,4,7,3
member_31,0.1,0.25,0.3903800499921017,4,5,1
member_32,0.1,0.25,0.3903800499921017,4,5,1
member_33,0.1,0.25,0.24630238874073,4,5,1
member_34,0.1,0.25,0.13905617951077562,4,7,1
member_35,0.2,0.5,0.5585075862632192,4,4,2
member_36,0.3,0.75,0.6804558477306826,4,6,3
member_37,0.1,0.25,0.15101961822780524,4,6,1
member_38,0.0,0.0,0.0,4,5,0
member_39,0.3,0.75,0.5805485932475565,4,6,3
member_40,0.2,0.5,0.2691828628414762,4,7,2
member_41,0.2,0.5,0.3071837157818931,4,7,2
member_42,0.2,0.5,0.34620964322385606,4,6,2
member_43,0.2,0.5,0.6366824387328317,4,5,2
member_44,0.2,0.5,0.4144299250118475,4,7,2
member_45,0.2,0.5,0.5855700749881525,4,6,2
member_46,0.0,0.0,0.0,4,6,0
member_47,0.1,0.25,0.13012668333070054,4,8,1
member_48,0.2,0.5,0.5413996682199069,4,6,2
member_49,0.0,0.0,0.0,4,5,0
member_50,0.0,0.0,0.0,4,4,0
member_51,0.1,0.25,0.15101961822780524,4,7,1
member_52,0.2,0.5,0.34620964322385606,4,6,2
member_53,0.1,0.25,0.13905617951077562,4,6,1
member_54,0.0,0.0,0.0,4,6,0
member_55,0.2,0.5,0.3973220069685352,4,5,2
member_56,0.2,0.5,0.4144299250118475,4,5,2
member_57,0.1,0.25,0.19519002499605084,4,7,1
member_58,0.2,0.5,0.29007579773858083,4,6,2
member_59,0.2,0.5,0.29007579773858083,4,6,2
member_60,0.2,0.5,0.44149241373678083,4,6,2
member_61,0.2,0.5,0.5855700749881525,4,6,2
member_62,0.2,0.5,0.3764290720714305,4,7,2
member_63,0.1,0.25,0.24630238874073,4,5,1
member_64,0.2,0.5,0.33424620450682646,4,6,2
member_65,0.1,0.25,0.15101961822780524,4,7,1
member_66,0.3,0.75,0.75369761125927,4,6,3
member_67,0.1,0.25,0.24630238874073,4,7,1
member_68,0.2,0.5,0.6366824387328317,4,6,2
member_69,0.2,0.5,0.5294362295028773,4,6,2
member_70,0.3,0.75,0.4852658227346317,4,6,3
member_71,0.3,0.75,0.42140541397218306,4,8,3
member_72,0.0,0.0,0.0,4,6,0
member_73,0.1,0.25,0.19519002499605084,4,6,1
member_74,0.2,0.5,0.5585075862632192,4,5,2
member_75,0.3,0.75,0.46437288783752695,4,7,3
member_76,0.2,0.5,0.2811463015585058,4,7,2
member_77,0.1,0.25,0.24630238874073,4,5,1
member_78,0.2,0.5,0.5585075862632192,4,5,2
member_79,0.1,0.25,0.24630238874073,4,6,1
member_80,0.2,0.5,0.34620964322385606,4,6,2
member_81,0.2,0.5,0.33424620450682646,4,6,2
member_82,0.1,0.25,0.15101961822780524,4,5,1
member_83,0.2,0.5,0.3853585682515056,4,6,2
member_84,0.1,0.25,0.13905617951077562,4,6,1
member_85,0.1,0.25,0.16812753627111746,4,6,1
member_86,0.3,0.75,0.75369761125927,4,7,3
member_87,0.2,0.5,0.5205067333228022,4,7,2
member_88,0.2,0.5,0.6366824387328317,4,6,2
member_89,0.2,0.5,0.5855700749881525,4,7,2
member_90,0.1,0.25,0.3903800499921017,4,7,1
member_91,0.1,0.25,0.15101961822780524,4,5,1
member_92,0.1,0.25,0.19519002499605084,4,4,1
member_93,0.1,0.25,0.24630238874073,4,4,1
member_94,0.1,0.25,0.3903800499921017,4,6,1
member_95,0.0,0.0,0.0,4,8,0
member_96,0.1,0.25,0.13012668333070054,4,7,1
member_97,0.1,0.25,0.16812753627111746,4,5,1
member_98,0.1,0.25,0.19519002499605084,4,5,1
member_99,0.3,0.75,0.592512031964586,4,5,3
member_100,0.3,0.75,0.5805485932475565,4,7,3
member_101,0.2,0.5,0.3853585682515056,4,7,2
member_102,0.1,0.25,0.16812753627111746,4,6,1
member_103,0.1,0.25,0.3903800499921017,4,4,1
member_104,0.1,0.25,0.24630238874073,4,5,1
member_105,0.1,0.25,0.19519002499605084,4,7,1
member_106,0.2,0.5,0.5855700749881525,4,5,2
member_107,0.1,0.25,0.3903800499921017,4,6,1
member_108,0.0,0.0,0.0,4,5,0
member_109,0.4,1.0,0.9828920819566879,4,6,4
member_110,0.3,0.75,0.5363781864793108,4,7,3
member_111,0.3,0.75,0.7246262544989281,4,7,3
member_112,0.2,0.5,0.3853585682515056,4,7,2
member_113,0.0,0.0,0.0,4,4,0
member_114,0.0,0.0,0.0,4,4,0
member_115,0.2,0.5,0.6366824387328317,4,6,2
member_116,0.1,0.25,0.19519002499605084,4,7,1
member_117,0.2,0.5,0.3853585682515056,4,6,2
member_118,0.2,0.5,0.5585075862632192,4,6,2
member_119,0.1,0.25,0.24630238874073,4,5,1
member_120,0.3,0.75,0.8048099750039491,4,4,3
member_121,0.2,0.5,0.32531670832675136,4,7,2
member_122,0.2,0.5,0.34620964322385606,4,5,2
member_123,0.2,0.5,0.29007579773858083,4,6,2
member_124,0.2,0.5,0.36331756126716835,4,5,2
member_125,0.3,0.75,0.4852658227346317,4,6,3
member_126,0.3,0.75,0.787702056960637,4,5,3
member_127,0.1,0.25,0.16812753627111746,4,6,1
member_128,0.2,0.5,0.44149241373678083,4,7,2
member_129,0.2,0.5,0.4144299250118475,4,6,2
member_130,0.0,0.0,0.0,4,7,0
member_131,0.2,0.5,0.6366824387328317,4,6,2
member_132,0.2,0.5,0.5855700749881525,4,4,2
member_133,0.1,0.25,0.19519002499605084,4,7,1
member_134,0.2,0.5,0.3973220069685352,4,6,2
member_135,0.2,0.5,0.3191471544989227,4,5,2
member_136,0.3,0.75,0.553486104522623,4,6,3
member_137,0.2,0.5,0.36331756126716835,4,4,2
member_138,0.2,0.5,0.2856436410275446,4,9,2
member_139,0.4,1.0,0.6153925060653322,4,8,4
member_140,0.3,0.75,0.7757386182436072,4,6,3
